Title,Location,Price,Size,Size_unit,Listing_Type
1 Bedroom Apartment For Rent,"Ruwi, Muscat",150,70.0,Sq. M.,For Rent
1 Bedroom Apartment For Rent,"Al Hail, Muscat",300,100.0,Sq. M.,For Rent
3 Bedrooms Villa For Rent,"Qurum, Muscat",750,300.0,Sq. M.,For Rent
4 Bedrooms Villa For Rent,"Madinat As Sultan Qaboos, Muscat",950,300.0,Sq. M.,For Rent
2 Bedrooms Apartment For Rent in,"Al Hamriyah, Muscat",250,100.0,Sq. M.,For Rent
2 Bedrooms Apartment For Rent,"Al Wadi Al Kabir, Muscat",230,100.0,Sq. M.,For Rent
2 Bedrooms Apartment For Rent,"Al Mawaleh, Muscat",250,100.0,Sq. M.,For Rent
1 Bedroom Apartment For Rent,"Madinat As Sultan Qaboos, Muscat",360,100.0,Sq. M.,For Rent
2 Bedrooms Apartment For Rent,"Al Khuwair, Muscat",270,105.0,Sq. M.,For Rent
4 Bedrooms Villa For Rent Madinat As Sultan Qaboos Muscat,"Madinat As Sultan Qaboos, Muscat",800,700.0,Sq. M.,For Rent
5 Bedrooms Villa For Rent,"Qurum, Muscat","1,000",450.0,Sq. M.,For Rent
4 Bedrooms Villa For Rent,"Qurum, Muscat",700,450.0,Sq. M.,For Rent
3 Bedroom Villa For Rent in,"Qurum, Muscat","1,800",350.0,Sq. M.,For Rent
4 Bedrooms Villa For Rent Qurum Muscat,"Qurum, Muscat","2,600",648.0,Sq. M.,For Rent
4 Bedrooms Villa For Rent,"Qurum, Muscat","1,800",300.0,Sq. M.,For Rent
6 Bedrooms Villa For Rent,"Azaiba, Muscat","1,000",600.0,Sq. M.,For Rent
5 Bedrooms Villa For Rent,"Al Mawaleh, Muscat",700,459.0,Sq. M.,For Rent
12 Bedroom Villa For Rent in,"Al Mawaleh, Muscat","3,500",711.0,Sq. M.,For Rent
6 Bed Villa For Rent,"Bosher, Muscat",950,650.0,Sq. M.,For Rent
4 Bedrooms Apartment For Rent,"Al Mawaleh, Muscat",450,359.0,Sq. M.,For Rent
2 Bedroom Apartment For Rent in,"Ruwi, Muscat",180,166.0,Sq. M.,For Rent
6-Bedroom Villa For Rent in,"Qurum, Muscat","1,000",300.0,Sq. M.,For Rent
5 Bedrooms Villa For Rent Madinat As Sultan Qaboos Muscat,"Madinat As Sultan Qaboos, Muscat","1,400",300.0,Sq. M.,For Rent
2 Bedrooms Apartment For Rent Muscat (The Wave (Almouj)),"The Wave (Almouj), Muscat","1,150",109.0,Sq. M.,For Rent
1 Bedroom Apartment For Rent,"Bosher, Muscat",395,60.0,Sq. M.,For Rent
2 Bedroom Apartment For Rent in,"Ruwi, Muscat",250,109.0,Sq. M.,For Rent
6 Bedrooms Villa For Rent in,"Qurum, Muscat","1,500",485.0,Sq. M.,For Rent
6 Bedrooms Villa For Rent in,"Madinat As Sultan Qaboos, Muscat","1,500",465.0,Sq. M.,For Rent
2 Bedroom Apartment For Rent,"Ruwi, Muscat",200,110.0,Sq. M.,For Rent
2 Bedrooms Apartment For Rent in,"Muscat Hills, Muscat",550,115.0,Sq. M.,For Rent
2 Bedroom Apartment For Rent,"Muscat Hills, Muscat",500,106.0,Sq. M.,For Rent
