Title,Location,Price,Size,Listing_Type,Link
"1 Bedroom Apartment For Rent Ruwi, Muscat","Ruwi, Muscat",150,70 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130120536.html
"1 Bedroom Apartment For Rent Al Hail, Muscat","Al Hail, Muscat",300,100 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130279761.html
"3 Bedrooms Villa For Rent Qurum, Muscat","Qurum, Muscat",750,300 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129945405.html
"4 Bedrooms Villa For Rent Madinat As Sultan Qaboos, Muscat","Madinat As Sultan Qaboos, Muscat",950,300 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130188313.html
"2 Bedrooms Apartment For Rent in Al Hamriyah, Muscat","Al Hamriyah, Muscat",250,100 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129943854.html
"2 Bedrooms Apartment For Rent Al Wadi Al Kabir, Muscat","Al Wadi Al Kabir, Muscat",230,100 Sq. M.,For Rent,https://www.bayut.om/en/property/details-107345769.html
"2 Bedrooms Apartment For Rent Al Mawaleh, Muscat","Al Mawaleh, Muscat",250,100 Sq. M.,For Rent,https://www.bayut.om/en/property/details-125399989.html
"1 Bedroom Apartment For Rent Madinat As Sultan Qaboos, Muscat","Madinat As Sultan Qaboos, Muscat",360,100 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130250511.html
"2 Bedrooms Apartment For Rent Al Khuwair, Muscat","Al Khuwair, Muscat",270,105 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130195149.html
4 Bedrooms Villa For Rent Madinat As Sultan Qaboos Muscat,"Madinat As Sultan Qaboos, Muscat",800,700 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130250150.html
"5 Bedrooms Villa For Rent Qurum, Muscat","Qurum, Muscat","1,000",450 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129421978.html
"4 Bedrooms Villa For Rent Qurum, Muscat","Qurum, Muscat",700,450 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129421913.html
"3 Bedroom Villa For Rent in Qurum, Muscat","Qurum, Muscat","1,800",350 Sq. M.,For Rent,https://www.bayut.om/en/property/details-128902142.html
4 Bedrooms Villa For Rent Qurum Muscat,"Qurum, Muscat","2,600",648 Sq. M.,For Rent,https://www.bayut.om/en/property/details-128637506.html
"4 Bedrooms Villa For Rent Qurum, Muscat","Qurum, Muscat","1,800",300 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129701089.html
"6 Bedrooms Villa For Rent Azaiba, Muscat","Azaiba, Muscat","1,000",600 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129694943.html
"5 Bedrooms Villa For Rent Al Mawaleh, Muscat","Al Mawaleh, Muscat",700,459 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129516395.html
"12 Bedroom Villa For Rent in Al Mawaleh, Muscat","Al Mawaleh, Muscat","3,500",711 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129233251.html
"6 Bed Villa For Rent Bosher, Muscat","Bosher, Muscat",950,650 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129931937.html
"4 Bedrooms Apartment For Rent Al Mawaleh, Muscat","Al Mawaleh, Muscat",450,359 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129863548.html
"2 Bedroom Apartment For Rent in Ruwi, Muscat","Ruwi, Muscat",180,166 Sq. M.,For Rent,https://www.bayut.om/en/property/details-130069893.html
"6-Bedroom Villa For Rent in Qurum, Muscat","Qurum, Muscat","1,000",300 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129983052.html
5 Bedrooms Villa For Rent Madinat As Sultan Qaboos Muscat,"Madinat As Sultan Qaboos, Muscat","1,400",300 Sq. M.,For Rent,https://www.bayut.om/en/property/details-129637320.html
